author_display,title_display
United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Public Lands. author.,"Establishment of a National outdoor recreation resources review commission : hearings before the Subcommittee on Public Lands of the Committee on Interior and Insular Affairs House of Representatives Eighty-fifth Congress, first session on H.R. 3592, H.R. 3593, H.R. 3594, H.R. 3595. H.R. 3596, H.R. 4819, H.R. 4822, H.R. 5238, H.R. 6884, and H.R. 7230 for the establishment of a National outdoor recreation resources review commission to study the outdoor recreation resources of public lands and other land and water areas of the United States, and for other purposes"
United States. Congress. House. Committee on Public Works.,"Committee on Public Works, legislative history, 80th Congress"
United States. Congress. House. Committee on Interior and Insular Affairs.,"Fryingpan-Arkansas Project, Colo. : hearings before the Subcommittee on Irrigation and Reclamation ..."
United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Mines and Mining. author.,"Multiple-use mining law administration and operation : hearings before the Subcommittee on Mines and Mining of the Committee on Interior and Insular Affairs, House of Representatives, Eighty-fifth Congress, first session, on the administration and operation of Public law 167, (84th Cong., 1st sess.), ""To amend the Act of July 31, 1947 (61 Stat. 681), and the mining laws to provide for multiple use of the surface of the same tracts of the public lands, and for other purposes."" January 31 and February 1, 1957"
United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Indian Affairs. author.,"California Indians, 1957 : hearings before the Subcommittee on Indian Affairs of the Committee on Interior and insular Affairs House of Representatives Eighty-fifth Congress first session on H.R. 2576, H.R. 2824, H.R.2838, and H.R. 6364 bills to provide for the distribution of the land and assets of certain Indian rancherias and reservations in California, and for other purposes May 2, 3, June 6, and 7, 1957"
United States. Congress. House. Committee on Public Works.,"Investigating questionable trade practices : interim report of the Subcommittee to Investigate Questionable Trade Practices of the Committee on Public Works, House of Representatives, October 14, 1948"
United States. Congress. House. Committee on Public Works.,"Arkansas River and tributaries, Ark. and Okla., navigation : hearings, 81st Congress, 1st session, on comprehensive plan of improvement of Arkansas River Basin for navigation, May 10 and 11, 1949"
United States. Congress. House. Committee on Public Works.,"Fort Des Moines, Iowa : hearings before the Committee on Public Works, House of Representativs, Eighty-first Congress, first session, on H.R. 4569, a bill authorizing the transfer of Fort Des Moines, Iowa to the state of Iowa. July 19, 1949"
United States. Congress. House. Committee on Public Works.,"Capitol power plant : hearing before the Committee on Public Works, House of Representatives, Eighty-first Congress, first session, on H.R. 6281, a bill providing for certain improvements relating to the Capitol power plant, its distribution systems, and the buildings and grounds served by the plant, including proposed additions. Oct. 10, 1949"
United States. Congress. House. Committee on Public Works.,"Baltimore-Washington Parkway : hearings 81st Congress, 2d session, on H.R. 5990, on Feb. 1, 2, 1950"
United States. Congress. House. Committee on Public Works.,"Great Lakes-St. Lawrence Basin : hearings, 81tst Congress, 2d session, on H.J.Res. 271, on Apr. 24-28, May 1-5, 8-10, 1950"
United States. Congress. House. Committee on Public Works. Subcommittee on Public Buildings and Grounds.,"Buildings for the Bureau of Old-Age and Survivors Insurance : hearings, 81st Congress, 2nd session, on H.R. 7873 and H.R. 8322, on Apr. 21, May 15, June 8, 1950"
United States. Congress. House. Committee on Public Works.,"Disaster relief : hearings, 81st Congress, 2d session, on, H.R. 8396, H.R. 8461, H.R. 8420, H.R. 8390, and H.R. 8435, July 18 and 19, 1950"
United States. Congress. House. Committee on Public Works. Subcommittee on Roads.,"National highway study : hearings before a subcommittee, 83d Congress, 1st session, Apr. 15-May 13, 1953"
United States. Congress. House. Committee on Public Works. Subcommittee on Rivers and Harbors.,"Lake Michigan water diversion : hearings before the Subcommittee on Rivers and Harbors of the Committee on Public Works, House of Representatives, Eighty-fifth Congress, first session, on H.R. 2 and others, to authorize the state of Illinois and the metropolitan sanitary district of greater Chicago, under the direction of the Secretary of the Army to test, on a 3-year basis, the effect of increasing the diversion of water from Lake Michigan into the Illinois waterway, and for other purposes, March 26 and 27, 1956"
United States. Congress. Joint Committee on Reduction of Federal Expenditures.,"Staff report 10 to Joint Committee on Reduction of Federal Expenditures, pursuant to sec. 601 of Revenue act of 1941 on status of 1969 fiscal year Federal budget, as of end of session, Oct. 14, 1968, with summary presentations"
United States. Congress. House. Committee on Public Works.,"Saint Lawrence Seaway Development Corporation : hearings before the Committee on Public Works, House of Representatives, Eighty-fifth Congress, first session, on H.R. 5728 and H.R. 5729, to clarify the general powers, increase the borrowing authority, and authorize the deferment of interest payments on borrowings, of the St. Lawrence Seaway Development Corporation, April 9, 10, and 17, 1957"
United States. Congress. House. Committee on Public Works. Subcommittee on Flood Control.,"Tennessee Valley Authority financing : hearings before the Subcommittee on Flood Control ... Eighty-fifth Congress, first session, on H.R. 3236 and H.R. 4266, to amend the Tennessee Valley Authority act of 1933, as amended, and for other purposes, March 28, 29, April 1, 2, 3, 5, May 6 and 7, 1957"
United States. Congress. House. Committee on Public Works. Subcommittee on Public Buildings and Grounds.,"Public buildings program : hearings before the Subcommittee on Public Buildings and Grounds of the Committee on Public Works, House of Representatives, Eighty-fifth Congress, first session on H.R. 4660, to repeal the Public Buildings Purchase Contract Act of 1954, to require certain distribution and approval of new public building projects, and for other purposes and H.R. 6993, to amend and extend the Public Buildings Purchase Contract Act of 1954, as amended, and to require certain distribution and approval of new public building projects, and for other purposes, February 26-28, June 14, July 9, 1957"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Statement by Senator Harry F. Byrd (D. Va.), Chairman, Joint Committee on Reduction of Nonessential Federal Expenditures, in connection with the Monthly report on federal personnel and pay"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Statement by Senator Harry F. Byrd, Chairman, Joint Committee on Reduction of Nonessential Federal Expenditures, in connection with the monthly report on Federal personnel and pay"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Assets of wholly owned federal government corporations fiscal year 1947 : Additional report of the Joint Committee on Reduction of Nonessential Federal Expenditures, Congress of the United States, pursuant to section 601 of the Revenue Act of 1941"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Chart showing existing organization of executive departments and agencies and their principal compenent parts, DEc. 1946"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Additional report of the Joint Committee on Reduction of Nonessential Federal Expenditures, Congress of the United States, pursuant to Section 601 of the Revenue Act of 1941 on control of collection and use of foreign currencies by federal agencies"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Statement by Harry F. Byrd, chairman of Joint Committee on Reduction of Nonessential Federal Expenditures, in connection with monthly report on Federal personnel and pay, Jan. 1951"
United States. Congress. Joint Committee on Printing.,"Memorandum concerning Army printing and service periodicals corrected to Jan. 20, 1920"
United States. Congress. Joint Committee on Printing.,"Report on government periodicals and field printing, for the year rnded Mar. 1, 1920, in compliance with section 11 of Public Act No. 314, 65th Cong"
United States. Congress. House.,"Revision of rules, House of Representatives"
United States. Congress. Joint Committee on Reduction of Nonessential Federal Expenditures.,"Issuance of questionnaires by governmental agencies. Hearings before the Joint Committee on Reduction of Nonessential Federal Expenditures, Congress of the United States, Seventy-seventh Congress, second session, on S. Con. Res. 38, a concurrent resolution authorizing the Joint Committee on Reduction of Nonessential Federal Expenditures to investigate the issuance of questionnaires by governmental agencies, with a view to simplification and reduction of expense. December 1 and 3, 1942"
United States. Congress. Joint Committee on Printing.,"Printing plants : inventories of printing and binding plants owned or operated wholly or in part at government expense, together with statement of field printing done therein and by contract, fiscal year ended June 30, 1921"
United States. Congress. Joint Committee on Printing.,Questions asked of executive officials in course of investigation of public printing and binding.
United States. Congress. Joint Committee on Printing.,"Production and distribution of printed and processed matter for the executive departments : letter to the Joint Committee on Printing, Congress of the United States, Seventy-fifth Congress, third session, from the Director of the Budget submitting the report of the Select Committee designated to make a study of the production and distribution methods of printed, processed, and duplicated matter published for the use of the executive branch of the government"
United States. Congress. Joint Committee on Printing.,"Departmental printing and binding. Distribution of publications. Manual of laws, regulations, decisions, executive orders, and other requirements relating to printing and binding by executive departments and establishments, use of processing equipment and distribution of publications"
United States. Congress. Joint Committee on Printing.,"List of United States public documents published as serials of 61st, 62d, 63d, and 64th Congresses, 1909-1917 : compiled under the direction of Adelaide R. Hasse, Chief of the Economics Division, New York Public Library"
United States. Congress. Joint Committee on Printing.,"Printing bill. comparative print showing H.R. 8664, as reported to the House Jan. 11, 1916, H.R. 15902, as passed the House and reported to the Senate in the 63d Congress, and the present printing laws"
United States. Congress. House. Committee on Rules.,"Creation of a committee on aeronautics : hearings before the Committee on Rules of the House of Representatives, on H. Res. 105. Friday, June 29, 1917"
United States. Congress. House. Committee on Rules.,Hearings on H.Res. 26 [for investigation of charges of W.J. Spillimanconcerning Secretary of Agriculture relative to collection of data on cost of production of farm products.]
United States. Congress. House. Committee on Rules.,Joint Commission of Agricultural Inquiry : hearings on H. Con. Res. 13.
United States. Congress. House. Committee on Rules.,"Authorizing and directing Secretary of Agriculture to request allocation of funds [by Reconstruction Finance Corporation], also to establish research laboratory for utilizing cotton, cotton hulls, seed linters, and waste farm products : hearings, 72d Congress, 1st session, on H.J. Res. 352, June 6, 1932; [statement of Marvin Jones]."
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 884, 887, 888, and 892, to amend rules 11 and 28 of House of Representatives, Jan. 17, 1911"
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 813, to investigate violations of antitrust act of 1890, Jan. 23. 1911; [statement of Augustus O. Stanley]."
United States. Congress. House. Committee on Rules.,"To amend Agricultural Adjustment Act. Hearings, Seventy-fourth Congress, first session, on H.R. 8052. May 23, 1935"
United States. Congress. House. Committee on Rules.,"Investigation of Air Service : hearings, Feb. 16 and 20, 1924"
United States. Congress. Joint Committee on Printing.,"Regulations of Committee making effective public resolution 14, 1st sess., 59th Cong, to prevent unnecessary printing [etc.], May 18, 1906"
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 921 : setting date for consideration and vote on H. 15413 [to amend act to regulate immigration of aliens into United States, so as to provide that all alien immigrants over 16 years of age must be able to read, etc.], Feb. 1, 1911"
United States. Congress. House. Committee on Rules.,"Hearings [Jan. 28, Feb. 1, 1911] on H.R. 931, directing committee to investigate and report [as to delay in transmission of] Ballinger reports, also report of Mr. Dalzell"
United States. Congress. House. Committee on Rules.,"Violations of antitrust act of 1890 : hearings [Apr. 29, 1911] on H.R. 139, to investigate violations of antitrust act of 1890 [with especial reference to United States Steel Corporation]."
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 895, for consideration of H. 27071 [to provide for appeals from decisions of Secretary of Interior to Court of Appeals of District of Columbia relative to land matters; statement of Frank W. Wondell] Jan. 23, 1911"
United States. Congress. House. Committee on Rules.,"Purchase of Arlington Hotel site for Treasury Department : hearings [on H. Res. 262], Mar. 5, 1918"
United States. Congress. Joint Committee on Printing.,"Edition regulations of the Joint Committee on Printing. making more effective public resolution 14, 1st Session, 59th Congress, to prevent unnecessary printing and binding, etc., approved Mar. 30, 1906, and superseding regulations promulgated May 18, 1906, Jan. 13, 1909, Oct. 6, 1914, and Oct. 18, 1926. Revised to May 4, 1933"
United States. Congress. Joint Committee on Printing.,"Edition regulations of the Joint Committee on Printing. making more effective public resolution 14, 1st Session, 59th Congress, to prevent unnecessary printing and binding, etc., approved Mar. 30, 1906, and superseding regulations promulgated May 18, 1906, Jan. 13, 1909, Oct. 6, 1914, and Oct. 18, 1926. Revised to May 4, 1933"
United States. Congress. Joint Committee on Printing.,"Distribution regulations of the Joint Committee on Printing, making more effective public resolution 14, 1st Session, 59th Congress, to prevent unnecessary printing and binding, etc., approved Mar. 30, 1906, and superseding regulations promulgated by the Committee. Revised to Jan. 3, 1951"
United States. Congress. Joint Committee on Printing.,"Distribution regulations of the Joint Committee on Printing, making more effective public resolution 14, 1st Session, 59th Congress, to prevent unnecessary printing and binding, etc., approved Mar. 30, 1906, and superseding regulations promulgated by the Committee. Revised to Feb. 28, 1958"
United States. Congress. Joint Committee on Printing.,"Ruling as to application of sec. 89, Printing Act of 1895, restricting printing of reports, publications, and documents to 1,000 copies each"
United States. Congress. Db Joint Committee on Printing.,Surplus copies of departmental editions of government publications : as shown in App. to Report of Printing Investigation Commission
United States. Congress. Joint Committee on Printing.,Tax reform act of 1969: H.R. 13270
United States. Congress. Joint Committee on Printing.,"Opinion of Justice Wright of Supreme Court of District of Columbia on question of jurisdiction in matter of Valley Paper Company v. Joint Committee on Printing, composed of Reed Smoot, Jonathan Bourne, Jr., Duncan U. Fletcher, George C. Sturgiss, Allen F. Cooper, and David E. Finley, at law no. 52342"
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 233, to investigate owners of property proposed to be purchased to enlarge Capitol grounds; [statement of Thomas U. Sisson], July 27, 1911"
United States. Congress. House. Committee on Rules.,"Banking and currency conditions : hearings on H.R. 411 [authorizing Banking and Currency Committee to investigate banking and currency conditions], Feb. 12, 1912"
United States. Congress. Joint Committee on Printing.,"Edition regulations of the Joint Committee on Printing. making more effective public resolution 14, 1st session, 59th Congress, to prevent unnecessary printing and binding, etc., : approved Mar. 30, 1906, and superseding regulations promulgated May 18, 1906, and Jan. 13, 1909. revised to Oct. 18, 1926"
United States. Congress. House. Committee on Rules.,"Granting certain lands to the Metropolitan Water District of Southern California. Hearings before the Committee on Rules, House of Representatives, Seventy-Second Congress, first session, on H.R. 10048. June 1, 1932"
United States. Congress. House. Committee on Rules.,"Canneries : hearings on H.R. 738, for investigation of canneries of United States, Jan. 11, 1913"
United States. Congress. House. Committee on Rules.,"To amend law relative to citizenship and naturalization : hearings, 73d Congress, 2d session, on H.R. 3673 [to amend law relative to citizenship and naturalization, so as to provide equality in matters of citizenship between American men and American women and to clarify status of their children], Mar. 24, 1934"
United States. Congress. Joint Committee on Printing.,"Proceedings upon the unveiling of the statue of Baron von Steuben, major general and inspector general in the continental army during the revolutionary war, in Washington, D.C., December 7, 1910 and upon the presentation of the replica to His Majesty the German emperor and the German nation in Potsdam, September 2, 1911; erected by the Congress of the United States"
United States. Congress. Joint Committee on Printing.,"Wages and hours of labor in printing and binding trades, in 1914 and 1915 prepared under direction of Commissioner of Labor Statistics [Bureau]."
United States. Congress. Joint Committee on Printing.,"Comparison of Government Printing Office wages with union scales and wages paid in 26 representative cities including a summary of special summary of speical report by Department of Labor on wages and conditions in the printing trade throughout the United States, Dec. 1915"
United States. Congress. House. Committee on Rules.,"Civil rights : hearings before the Committee on Rules, House of Representatives, Eighty-fifth Congress, first session, on H. R. 6127, a bill to provide means of further securing and protecting the civil rights of persons within the jurisdiction of the United States. May 2, 7, 8, 9, 13, 14, 15, 16, and 17, 1957"
United States. Congress. Joint Committee on Printing.,War Department [reply to questjions of Com. relating to printing of Dept.]
United States. Congress. House. Committee on Rules.,Creation of committee for investigation of coal situation : hearings on H. Res. 157
United States. Congress. House. Committee on Rules.,Investigation into the activities of Communists in the United States. Hearings ... on H. Res. 180 ...
United States. Congress. House. Committee on Public Works.,"Report of current progress in highway, river and harbor, flood control, and hydroelectric power development in Europe --- Comm. on Public Works, House"
United States. Congress. House. Committee on Rules.,"Commodity exchange act. : hearings, 73d Congress, 2d session, on H.R. 9623 [to amend grain futures act to prevent and remove obstructions and burdens upon interstate commerce in grains and other commodities by regulating transactions therein on commodity futures exchanges, by providing means for limiting short selling and speculation in such commodities on such exchanges, by licensing commission merchants dealing in such commodities for future delivery on such exchanges, and for other purposes], May 16, 1934"
United States. Congress. House. Committee on Rules.,Constitution of United States
United States. Congress. House. Committee on Rules.,"Constitutionality of vote adopting prohibition and suffrage amendments : hearings on H. Res. 254, Mar. 4, 1918"
United States. Congress. Senate. Select Committee on POW/MIA Affairs.,Questions regarding American POW's in the 1970's.
United States. Congress. House. Committee on Science and Astronautics.,Qualifications for astronauts
United States. Congress. House. Committee on Rules.,"Interstate character of convict-made goods : hearings before the Committee on Rules, House of Representatives, Seventieth Congress, first session, March 30, 1928"
United States. Congress. House. Committee on Rules.,"Copyright Bill : hearings, 70th Congress, 2d session, on H.R. 13452 [to amend act to amend and consolidate acts respecting copyright, approved Mar. 4, 1909, as amended, in respect of mechanical reproduction of musical compositions], Feb. 13 and 16, 1929"
United States. Congress. House. Committee on Science and Astronautics.,"Report on the activities of the Committee on Science and Astronautics : U.S. House of Representatives, Eighty-seventh Congress, second session"
United States. Congress. House. Committee on Rules.,"Copyright bill. Hearings, 72nd Congress, 1st session, on H.R. 10976. May 6, 1932"
United States. Congress. House. Committee on Rules.,"Copyright : hearings, 72d Congress, 1st session, on H.R. 12094, Sirovich copyright bill, May 19, 1932"
United States. Congress. House. Committee on Science and Astronautics.,Ways and means of effecting economies in the national space program
United States. Congress. House. Committee on Rules.,"Investigation of activities of those engaged in purchasing cottonseed oil, etc. : hearings, 71st Congress, 2d session, on H. Res. 77 [for inquiry into alleged cottonseed oil mill trust], Feb. 10, 1930"
United States. Congress. House. Committee on Rules.,"Crop-production loans : hearing, 72d Congress, 2d session, on S. 5160 [to provide for loans to farmers for crop production and harvesting during 1933], and H.J. Res. 529 [authorizing Secretary of Agriculture to make loans for crop production], Jan. 9, 1933"
United States. Congress. House. Committee on Rules.,"Cuban parcel post bill : hearing before the Committee on Rules, House of Representatives, Seventieth Congress, first session, on H.R. 9195, a bill to amend sections 2804 and 3402 of the revised statutes, February 20, 1928"
United States. Congress. House. Committee on Rules.,"Federal Reserve Bank of Dallas, Tex. : hearings before the Committee on Rules, House of Representatives, Seventieth Congress, first session, on H. Con. Res. 24, March 16, 1928"
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 154, authorizing Committee on District of Columbia to inquire into government of said District, May 27, 1911"
United States. Congress. House. Committee on Rules.,"Authorizing loans, District of Columbia : hearing, 73d Congress, 2d session, on S. 3404 [authorizing loans from Federal Emergency Administration of Public Works for construction of certain municipal buildings in District of Columbia and for other purposes] and H. Res. 368 [for consideration of S. 3404], May 11, 1934"
United States. Congress. House. Committee on Rules.,"To prohibit discrimination in employment because of race, creed, color, national origin or ancestry. Hearings, Seventy-ninth Congress, first session, on H.R. 2232. March 8, April 19-20, 25-26, 1945"
United States. Congress. House. Committee on Rules.,"Universal Draft System : hearing, 70th Congress, 2d session, on H.J. Res. 264 [to promote peace and to equalize burdens and to minify profits of war], Jan. 31, 1929"
United States. Congress. House. Committee on Rules.,"Drainage, levee, irrigation and similar districts : hearing, 72d Congress, 1st session, on H. Res. [H.R.] 4650 [for relief of farmers in any State by making of loans to drainage districts, levee districts, levee and drainage districts, irrigation and/or similar districts other than Federal reclamation projects, or to counties, boards of supervisors, and/or other political subdivisions and legal entities] and H. Res. 117 [for consideration of H.R. 4650], Jan. 25 and 28, 1932.."
United States. Congress. House. Committee on Rules.,"Riot at East St. Louis, Illinois : hearings on H.J.Res. 118, August 3, 1917"
Panel on Science and Technology.,"Panel on Science and Technology, Fifth Meeting : Report, Eighty-eighth Congress, first session"
United States. Congress. House. Committee on Rules.,"Authorize payment of farm-loan mortgages with bonds issued by mortgage banks : hearings, 72d Congress, 1st session, on H.R. 8167, June 15 and 16, 1932"
United States. Congress. House. Committee on Rules.,"Conditions at Ellis Island : hearing on H. Res. 309, concerning conditions at Ellis Island immigration station, N.Y., Feb. 15, 1917; [statement of Byron H. Uhl]."
United States. Congress. House. Committee on Science and Astronautics.,"Posture of the national space program. Report of the Committee on Science and Astronautics, U.S. House of Representatives, Eighty-eighth Congress, first session"
United States. Congress. House. Committee on Rules.,"Employment of soldiers and sailors : statement of W.B. Wilson, Secretary of Labor, before the Committee on Rules, House of Representatives, Sixty-fifth Congress, third session, on H. Res. 452 and H. Res. 463. December 11, 1918"
United States. Congress. House. Committee on Rules.,"To amend Federal Farm Board act : hearings, 72d Congress, 1st session, on H.R. 12617, June 15 and 16, 1932"
United States. Congress. House. Committee on Rules.,Appointment of committee for investigation of administration of Federal Reserve Act.: hearings on H.res. 476
United States. Congress. House. Committee on Rules.,"Federal prison bill : hearings before the Committee on Rules, House of Representatives, Seventieth Congress, first session, [on] H. Res. 17, March 15, 1928"
United States. Congress. House. Committee on Rules.,"Flood control, drainage, levee districts : hearing, 71st Congress, 3d session, on S.4123, drainage bill, Jan. 27-29, 1931"
United States. Congress. House. Committee on Rules.,"Hearings on H.J.R. 230, authorizing appointment of committee to investigate certain foreign shipping rings, pools, combinations, and conferences, and other matters connected therewith, Jan. 17, 1911; [statement of William E. Humphrey]."
United States. Congress. House. Committee on Rules.,"Investigation of high price of gasoline and other petroleum products : hearing on H. Res. 118, Mar. 10, 1916"
United States. Congress. House. Committee on Rules.,"George Washington Memorial Parkway : hearing, 71st Congress, 2d session, on H.R. 26, Jan. 15, 1930"
United States. Congress. House. Committee on Rules.,"Alleged German corruption fund : hearings on H. Resolutions 148, 149, [and] 151"
United States. Congress. House. Committee on Rules.,"Grain exchanges . hearings on H. R.. 424, Mar. 3-7, 1914"
United States. Congress. House. Committee on Rules.,"Investigate conditions of Hawaii : hearing, 72d Congress, 1st session, on H. Res. 212, May 19, 1932"
United States. Congress. House. Committee on Rules.,"Investigation of holding companies : hearing, 71st Congress, 3d session, on H.J. Res. 517, for further investigation of corporations engaged in interstate commerce, Feb. 25, 1931"
United States. Congress. House. Committee on Rules.,"Home Loan Bank Bill : hearings, 72d Congress, 1st session, on H.R. 12280. May 26 and June 7, 1932"
United States. Congress. House. Committee on Rules.,Creation of a committee for investigation of activities of Housing bureau. : hearings on H. Res. 49 [to investigate Bureau of Industrial Housing and Transportation and Housing Corporation]..
United States. Congress. House. Committee on Rules.,"H.R. 1307 hearing, April 9, 1987"
United States. Congress. House. Committee on Rules.,"Immigration : hearings, 70th Congress, 2d session, on H.R. 16927 [and other bills], Feb. 8, 1929"
United States. Congress. House. Committee on Public Works. Subcommittee on Public Buildings and Grounds.,"Mint facilities - National Cultural Center - GSA air conditioning: hearing before the Subcommittee on Public Buildings and Grounds ... Eighty-eighth Congress, first session on H.R. 6045, S. 874, H.R. 6659, H.R. 6747, H.R. 7264, H.R. 7615, and S. 1652, H.R. 3804, S. 1139, July 30, 1963"
United States. Congress. House. Committee on Rules.,"Immigration : hearing, 71st Congress, 3d session, on H.J. Res. 473, restriction of immigration, Feb. 5 and 10 [7], 1931"
United States. Congress. House. Committee on Rules.,"Immigration. Hearing before the Committee on rules, House of representatives, Seventy-second Congress, first session, on H.R. 10602. May 4, 1932"
"",Occupational outlook handbook
United States. Congress. House. Committee on Rules.,"International Harvester Co. : hearings on H.R. 226 and 283 [authorizing appointment of committee to investigate violations of antitrust act of 1890 and other acts by International Harvester Company and International Harvester Company of America and to investigate said companies, etc.], Jan. 17 [and 18], 1912"
United States. Congress. House. Committee on Rules.,"To amend sec. 5, 15a and 19a of Interstate Commerce Act [relative to railroad holding companies, recapture and valuation] : hearings, 72d Congress, 1st session, on H.R. 11677, May 13 and 14, 1932"
United States. Congress. House. Committee on Rules.,"To investigate the Bureau of Internal Revenue and certain practices of the Federal Reserve Board. hearings, 72d Congress, 1st session, on H. Res. 68 and H. Res. 249. July 9 and 11, 1932"
United States. Congress. House. Committee on Rules.,Ku-Klux Klan : hearings
United States. Congress. House. Committee on Rules.,"Farm lands for soldiers and sailors. Statement of Hon. Franklin K. Lane, Secretary of the interior, before the Committee, Sixty-fifth Congress, third session, on H.R. 15993. February 21, 1919"
United States. Congress. House. Committee on Rules.,"Boulder Dam : extracts from hearings before the Committee on Rules, House of Representatives on H.R. 9826 (by Mr. Swing), a bill to provide for the protection and development of the lower Colorado River Basin ; statement of Hon. Carl Hayden of Arizona"
United States. Congress. House. Committee on Rules.,"Militia : hearings on H. 8141, to further increase efficiency of organized militia, Jan. 11, 1913"
United States. Congress. House. Committee on Rules. Special Subcommittee on Legislative Reorganization.,Summary of draft: Legislative reorganization act of 1970
United States. Congress. House. Committee on Rules.,Investigation of depreciation in value of liberty bonds : hearings on H.Res. 510
United States. Congress. House. Committee on Rules.,"Hearings on H.C.R. 6, for appointment of committee of investigation [to look into arrest and extradition of John J. McNamara; statement of Victor L. Berger]. May 27, 29, 1911"
United States. Congress. House. Committee on Rules.,"Hearings on H.J.R. 201, for joint committee to investigate alleged persecutions of Mexican citizens by Mexico, June 10-14, 1910"
United States. Congress. House. Committee on Rules.,"Minnesota fire bill : hearing, 73d Congress, 2d session, on H.R. 4774 [for relief of certain claimants who suffered loss by fire in Minnesota during Oct. 1918], May 16, 1934"
United States. Congress. House. Committee on Public Works. Special Subcommittee on Montana Flood Damage.,"Montana flood damage : hearing before the Special Subcommittee on Montana Flood Damage of the Committee on Public Works, House of Representatives, Eighty-eighth Congress, second session, August 5, 1964"
United States. Congress. House. Committee on Rules.,"Levee system of Mississippi River : hearing on H.J.R. 111 [to empower Mississippi River Commission to investigate as to whether or not United States shall take charge of levee system of Mississippi River; statement of Robert F. Broussard], May 10, 1912"
United States. Congress. House. Committee on Rules.,"Flood control : hearing, 70th Congress, 1st session, on H. Res. 155, for the consideration of S. 3740, a bill for the control of floods on the Mississippi River from the Head of Passes to Cape Girardeau, Mo., and for other purposes"
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 314, authorizing appointment of committee to investigate as to whether there are not combinations of financial and other concerns who control money and credits, and operate in restraint of trade through that control, Dec. 15, 1911; [statement of Charles A. Lindbergh]."
United States. Congress. House. Committee on Rules.,"Hearings on H.R. 238, authorizing [National] Monetary Commission to investigate financial institutions or corporations and report whether they operate in restraint of trade and in violation of law, July 27, 1911"
United States. Congress. House. Committee on Rules.,"Public ownership of Monticello : hearings on S.C.R. 24 [for inquiry as to purchase of home of Thomas Jefferson at Monticello, Va.; statement of Mrs. Martin W. Littleton], July 24, 1912"
United States. Congress. House. Committee on Rules.,"Purchase of Monticello : hearings on H.J. Res. 390, H.J. Res. 418, and a substitute therefor"
United States. Congress. House. Committee on Rules.,"Muscle Shoals : hearing before the Committee on Rules, House of Representatives, Seventy-first Congress, second session, on S.J. Res. 49. Muscle Shoals. May 22, 1930"
United States. Congress. House. Committee on Rules.,"Muscle Shoals : hearing before the Committee on Rules, House of Representatives, Seventy-second Congress, first session, on H.R. 11051 and H. Res. 205 (For the consideration of H.R. 11051). April 29, 1932"
United States. Congress. House. Committee on Rules.,"Modernization and line promotion bills : hearing, 71st Congress, 3d session, on S. 4750, alterations and repairs to certain naval vessels, and S. 550, to regulate distribution and promotion of commissioned officers of the line of Navy, Feb. 5 and 10, 1931"
United States. Congress. House. Committee on Rules.,"Investigation of New York, New Haven & Hartford and Grand Trunk Railroad agreement : hearings on H.R. 718, Dec. 10 and 11, 1912"
United States. Congress. House. Committee on Rules.,"Oleomargarine bill : hearing, 70th Congress, 2d session, on H.R. 10958, to amend definition of oleomargarine contained in act defining butter, also imposing tax upon and regulating manufacture, sale, importation and exportation of oleomargarine, as amended, Jan. 18, 1929"
United States. Congress. House. Committee on Rules.,"Amendment to oleomargarine act : hearing, 71st Congress, 3d session, on H.R. 16836, taxation of and regulation of color, etc., of oleomargarine, Feb. 10, 1931"
United States. Congress. House. Committee on Rules. Subcommittee on Rules of the House.,"Papers of the House hearing before the Subcommittee on Rules of the House of the Committee on Rules, House of Representatives, Ninety-ninth Congress, second session, on H. Res. 114 ... September 17, 1986"
United States. Congress. House. Committee on Rules.,Consideration of H.R. 11984 (Patent bill). Hearings on H. Res. 457
United States. Congress. House. Committee on Rules.,"Peace propaganda investigation : hearings, Jan. 19, 1916 [on resolutions to investigate Navy League, Labor's National Peace Council, National Security League, American Defense Society, and any other organizations which have been active in propaganda for or against proposed increases in Army and Navy]."
United States. Congress. House. Committee on Rules.,"Travel pay for Spanish American soldiers : hearing, 71st Congress, 3d session, on H.R. 9333, volunteer officers and soldiers who served in Philippine Islands beyond period of their enlistment, Feb. 25, 1931"
United States. Congress. House. Committee on Rules.,"Philippine currency reserves on deposit in United States : hearing, 73d Congress, 2d session, on H.R. 9459, May 29, 1934; [statement of John McDuffie]."
